OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177702312                                            
Config info:
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,60
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
22,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.680,4.020,43.334,15.010,0.873,2.393,132.166,2,0,30,1,0,615
22,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,32,25,0,0,0.680,4.000,43.347,15.010,0.894,1.252,232.327,3,0,21,4,0,615
19,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,37,51,0.680,4.020,43.390,15.043,0.593,5.634,63.928,3,0,21,2,0,615
29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.130,43.374,15.057,0.921,0.956,0.956,0,0,16,0,0,616
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0.680,4.160,43.403,15.078,0.503,0.513,0.513,3,0,19,3,0,616
23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.680,4.160,43.390,15.075,0.570,3.039,12.415,4,0,20,3,0,616
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,4.160,43.433,15.062,0.566,0.679,0.680,1,0,13,3,0,617
21,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.670,4.160,43.446,15.048,1.193,4.464,7.480,1,0,20,2,0,617
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,4.170,43.459,14.982,0.708,0.724,0.724,4,0,18,1,0,617
16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,33,0,0.680,4.180,43.459,15.001,0.577,2.164,2.833,4,0,14,2,0,617
13,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,47,0.680,4.180,43.489,14.970,0.498,6.820,65.235,5,0,22,1,0,617
13,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,39,0.680,4.200,43.502,15.002,0.579,3.084,12.372,1,0,14,0,0,618
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,4.200,43.529,14.938,0.525,0.584,0.585,3,0,22,1,0,618
20,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,34,0.680,4.240,43.516,14.938,0.884,6.283,18.459,1,0,14,4,0,618
19,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,36,0.680,4.240,43.529,14.956,0.681,5.617,17.706,2,1,35,1,0,618
14,5,3,1,5,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,36,35,39,0.680,4.220,43.572,14.941,2.078,13.928,175.772,1,0,33,5,0,618
13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,4.220,43.572,14.973,0.480,0.591,0.592,2,0,25,9,0,618
17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,0,0,0.680,4.190,43.572,14.959,0.592,0.875,0.888,3,1,44,7,0,617
12,3,0,0,0,1,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,45,43,0.680,4.170,43.601,14.975,0.561,15.715,267.546,2,3,184,8,0,618
8,1,0,0,0,0,1,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,4.180,43.628,15.024,0.245,7.918,644.249,0,4,119,17,0,617
13,0,1,0,1,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,43,0.680,4.180,43.614,15.037,0.744,14.349,245.245,2,3,82,9,0,617
15,1,1,1,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,32,47,50,0.680,4.230,43.614,15.103,0.849,12.205,176.469,0,2,74,4,0,616
10,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,0,44,0,0.680,4.190,43.628,15.071,0.498,2.748,319.173,2,3,48,10,0,616
16,2,2,1,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,35,0.680,4.180,43.657,15.167,0.804,6.114,467.713,0,2,47,5,0,616
